RA[deg]	DEC[deg]	z_low	layer
187.2397	57.9614	0.02	4
123.0491	57.7265	0.02	4
155.4949	56.8700	0.02	4
203.8066	56.7925	0.02	4
205.9567	56.7925	0.02	4
173.8268	54.6451	0.02	4
174.4129	54.4176	0.02	4
120.9668	53.5118	0.02	4
188.6874	52.8371	0.02	4
121.5233	52.7624	0.02	4
197.4851	52.7624	0.02	4
135.0002	50.1755	0.02	4
164.3426	49.9562	0.02	4
195.4133	48.6481	0.02	4
185.5514	47.8548	0.02	4
130.4599	47.5675	0.02	4
240.1244	47.4958	0.02	4
120.4124	46.6377	0.02	4
186.9508	46.0684	0.02	4
164.8291	45.9974	0.02	4
153.4563	44.9363	0.02	4
163.2051	44.7954	0.02	4
122.3426	44.7250	0.02	4
168.8738	43.8825	0.02	4
182.5571	42.4186	0.02	4
238.7312	42.4186	0.02	4
153.8202	39.8697	0.02	4
184.3018	39.5963	0.02	4
133.3886	39.0507	0.02	4
189.3610	38.8465	0.02	4
218.9117	38.5067	0.02	4
159.9727	37.6936	0.02	4
173.7084	37.3558	0.02	4
181.6677	37.2883	0.02	4
145.5348	36.4129	0.02	4
162.1573	36.0101	0.02	4
232.2013	35.8760	0.02	4
206.0033	35.4743	0.02	4
206.5087	35.3406	0.02	4
144.3292	34.4066	0.02	4
140.2010	33.8083	0.02	4
183.6105	32.1545	0.02	4
150.2576	31.3647	0.02	4
151.6119	30.8396	0.02	4
211.4162	28.9449	0.02	4
194.7741	28.4246	0.02	4
172.4291	28.2947	0.02	4
137.2367	28.0999	0.02	4
124.1168	27.4516	0.02	4
198.0833	27.4516	0.02	4
198.1554	27.4516	0.02	4
161.4450	27.2573	0.02	4
156.0076	25.8370	0.02	4
120.0473	25.7726	0.02	4
122.5031	25.4507	0.02	4
230.1037	24.6797	0.02	4
230.4898	24.2307	0.02	4
183.2328	24.1025	0.02	4
154.1760	23.9744	0.02	4
171.3255	23.9744	0.02	4
238.0628	23.9104	0.02	4
147.8278	23.7824	0.02	4
165.7532	23.5904	0.02	4
220.1128	23.3985	0.02	4
236.7575	23.2707	0.02	4
145.7862	22.8236	0.02	4
126.7094	19.5820	0.02	4
191.9226	19.3922	0.02	4
178.1018	18.5072	0.02	4
161.9292	16.8684	0.02	4
134.0856	16.5538	0.02	4
226.5461	16.5538	0.02	4
202.5321	16.4910	0.02	4
161.3434	16.3023	0.02	4
124.3794	15.7997	0.02	4
180.8637	15.6114	0.02	4
195.7425	15.4859	0.02	4
203.7561	15.3604	0.02	4
152.5602	15.2976	0.02	4
209.2972	15.2349	0.02	4
183.8711	14.6706	0.02	4
232.4922	13.6062	0.02	4
146.7082	13.3561	0.02	4
233.0979	13.0435	0.02	4
150.0949	12.7311	0.02	4
228.9620	12.0443	0.02	4
144.7570	11.4205	0.02	4
203.1889	10.2367	0.02	4
213.3975	10.0499	0.02	4
193.9075	9.9255	0.02	4
213.1752	9.7388	0.02	4
177.6066	9.4899	0.02	4
